#{"t_start": 1748433463.6199374, "env_id": "None"}
r,l,t
-1190.583244,24,1310.75637
-1190.118851,24,1312.269556
-1190.408483,24,1313.77889
-1190.237514,24,1315.450574
-1189.946991,24,1316.973715
-1191.768469,24,1318.536676
-1189.334941,24,1320.166773
-1191.705826,24,1321.864332
-1189.574482,24,1323.278242
-1190.3197,24,1325.468689
-1191.203069,24,1327.712541
-1189.419303,24,1329.280745
-1189.566934,24,1330.728662
-1189.743316,24,1332.200365
-1191.346226,24,1333.658863
-1191.145576,24,1335.181455
-1191.93261,24,1336.954823
-1190.104009,24,1338.755533
-1191.938188,24,1340.341115
-1190.101897,24,1342.258586
-1192.263406,24,1343.951281
-1189.895412,24,1345.402481
-1189.899957,24,1346.916074
-1189.827173,24,1348.465101
-1193.904201,24,1349.902622
-1191.831401,24,1351.297509
-1192.519773,24,1352.862007
-1189.534966,24,1354.473239
-1193.72204,24,1356.45513
-1190.622379,24,1358.205034
-1191.491003,24,1359.784292
-1189.722488,24,1361.400494
-1189.861297,24,1362.781999
-1189.949536,24,1364.109803
-1190.696788,24,1365.658318
-1189.933497,24,1367.89526
-1189.933497,24,1369.18871
-1189.933497,24,1370.664523
-1189.933497,24,1372.02114
-1189.933497,24,1373.331302
-1191.030561,24,1374.685633
-1190.121894,24,1376.010949
-1190.287266,24,1377.331394
-1190.229635,24,1378.726166
-1190.934883,24,1380.139906
-1191.077271,24,1381.505478
-1189.986157,24,1382.879319
-1189.600722,24,1384.209704
-1191.207893,24,1385.552018
-1189.899684,24,1386.88041
-1190.882356,24,1388.26324
-1190.478732,24,1389.575011
-1191.123832,24,1391.038511
-1189.766592,24,1392.412196
-1189.556719,24,1393.886954
-1190.898455,24,1395.225575
-1189.747671,24,1396.599725
-1192.828668,24,1398.045773
-1189.7904,24,1399.453313
-1190.001759,24,1400.76388
-1190.668813,24,1403.48789
-1191.528165,24,1404.797452
-1190.552686,24,1406.139868
-1190.649635,24,1407.508607
-1191.373974,24,1408.836084
-1190.856842,24,1410.187126
-1189.387882,24,1411.500846
-1191.023722,24,1412.87324
-1190.115655,24,1414.201106
-1191.748554,24,1415.54306
-1191.915569,24,1416.915831
-1189.751904,24,1418.236526
-1190.581745,24,1419.597226
-1189.986442,24,1421.050671
-1192.294217,24,1422.383194
-1190.558462,24,1423.723267
-1191.770543,24,1425.037815
-1192.022336,24,1426.364818
-1189.642566,24,1427.696681
-1189.984906,24,1429.031894
-1193.643726,24,1430.374577
-1190.426472,24,1432.569885
-1190.426472,24,1433.884907
-1190.426472,24,1435.31163
-1190.426472,24,1436.634507
-1190.426472,24,1438.047145
-1191.540597,24,1439.411888
